element,proj_index,l,q_bohr_inv,q_per_ang,F_bohr_3halves,F_ang_3halves
Al,4,2,2.000000000000e+00,3.779452249252e+00,2.210426542528e-01,8.508985553883e-02
Al,4,2,3.000000000000e+00,5.669178373877e+00,-1.717012110421e-02,-6.609598175882e-03
Al,4,2,4.000000000000e+00,7.558904498503e+00,-6.859471227089e-01,-2.640537491548e-01
Al,4,2,5.000000000000e+00,9.448630623129e+00,-1.237567459790e+00,-4.763987146691e-01
Al,4,2,6.000000000000e+00,1.133835674775e+01,-9.799459009154e-01,-3.772278948903e-01
Al,4,2,7.000000000000e+00,1.322808287238e+01,-9.886795667363e-03,-3.805898992308e-03
Al,5,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Al,5,2,1.000000000000e-01,1.889726124626e-01,2.596214560819e-03,9.994067555631e-04
Al,5,2,5.000000000000e-01,9.448630623129e-01,6.560972347561e-02,2.525631042277e-02
Al,5,2,1.000000000000e+00,1.889726124626e+00,2.694140621491e-01,1.037103164812e-01
Al,5,2,2.000000000000e+00,3.779452249252e+00,1.098482009717e+00,4.228580942205e-01
Al,5,2,3.000000000000e+00,5.669178373877e+00,2.100919477383e+00,8.087440654088e-01
Al,5,2,4.000000000000e+00,7.558904498503e+00,2.274954074031e+00,8.757382785288e-01
Al,5,2,5.000000000000e+00,9.448630623129e+00,1.124228651328e+00,4.327692040139e-01
Al,5,2,6.000000000000e+00,1.133835674775e+01,-3.942320165141e-01,-1.517586976475e-01
Al,5,2,7.000000000000e+00,1.322808287238e+01,-8.836058814361e-01,-3.401420285094e-01
Fe,0,0,0.000000000000e+00,0.000000000000e+00,9.915711981357e-01,3.817030260111e-01
Fe,0,0,1.000000000000e-01,1.889726124626e-01,9.927239313659e-01,3.821467679864e-01
Fe,0,0,5.000000000000e-01,9.448630623129e-01,1.020080229289e+00,3.926775112325e-01
Fe,0,0,1.000000000000e+00,1.889726124626e+00,1.101795748938e+00,4.241337104249e-01
